ID	Source	Change	Target
Guarani0253	Nde reñembosarái hína	PERSON:1_SI	Che añembosarái hína
Guarani0254	Nde reñembosarái hína	ASPECT:INM	Nde reñembosarái ikóni
Guarani0255	Nde reñembosarái hína	TENSE:FUT_SIM	Nde reñembosaráita hína
Guarani0256	Nde reñembosarái hína	TENSE:PAS_REC	Nde reñembosarái kuri hína
Guarani0257	Nde reñembosarái hína	PERSON:3_PL	Ha’ekuéra oñembosarái hína
Guarani0217	Amo ñemuha osapukái kuri	TYPE:NEG	Amo ñemuha nosapukái kuri
Guarani0218	Amo ñemuha osapukái kuri	PERSON:3_PL	Umíva ñemuhakuéra osapukái kuri
Guarani0219	Amo ñemuha osapukái kuri	TENSE:FUT_SIM	Amo ñemuha osapukáita
Guarani0220	Amo ñemuha osapukái kuri	ASPECT:IPFV	Amo ñemuha osapukái kuri hína
Guarani0221	Amo ñemuha osapukái kuri	TENSE:PAS_PLU	Amo ñemuha osapukáiva’ekue
Guarani0001	Jaguarete katu itáicha okirirĩ.	PERSON:1_SI	Che katu itáicha akirirĩ.
Guarani0002	Jaguarete katu itáicha okirirĩ.	PERSON:2_SI	Nde katu itáicha rekirirĩ.
Guarani0003	Jaguarete katu itáicha okirirĩ.	TYPE:NEG	Jaguarete katu itáicha ndokirirĩ.
Guarani0004	Jaguarete katu itáicha okirirĩ.	TENSE:FUT_SIM	Jaguarete katu itáicha okirirĩta.
Guarani0141	Pakova roguépe omo’â hembi’ukuéra.	TYPE:NEG	Pakova roguépe ndomo’âi hembi’ukuéra.
Guarani0142	Pakova roguépe omo’â hembi’ukuéra.	PERSON:2_PL	Pakova roguépe pemo’â penderembi’ukuéra.
Guarani0143	Pakova roguépe omo’â hembi’ukuéra.	PERSON:2_SI	Pakova roguépe remo’â nderembi’ukuéra.
Guarani0144	Pakova roguépe omo’â hembi’ukuéra.	PERSON:1_SI	Pakova roguépe amo’â cherembi’ukuéra.
Guarani0203	Ha’e ojupi kuri	PERSON:1_SI	Che ajupi kuri
Guarani0204	Ha’e ojupi kuri	PERSON:1_PL_INC	Ñande jajupi kuri
Guarani0205	Ha’e ojupi kuri	ASPECT:IPFV	Ha’e ojupi kuri hína
Guarani0206	Ha’e ojupi kuri	ASPECT:INM	Ha’e ojupi kuri ikóni
Guarani0207	Ha’e ojupi kuri	TENSE:FUT_SIM	Ha’e ojupita
Guarani0208	Ha’e ojupi kuri	PERSON:2_SI	Nde rejupi kuri
Guarani0209	Ha’e ojupi kuri	TYPE:NEG	Ha’e ndojupirí kuri
Guarani0005	Che mba’éma ko ykua	PERSON:2_SI	Nde mba’e ko ykua
Guarani0008	Che mba’éma ko ykua	TYPE:NEG	Ndachemba’ei ko ykua
Guarani0009	Che mba’éma ko ykua	TENSE:FUT_SIM	Che mba’éta ko ykua
Guarani0222	Ha’e ndombojaruita	TYPE:AFF	Ha’e ombojaruita
Guarani0223	Ha’e ndombojaruita	PERSON:2_SI	Nde nderembojarui mo’ãi
Guarani0224	Ha’e ndombojaruita	TENSE:PAS_REC	Ha’e ndombojarui kuri
Guarani0225	Ha’e ndombojaruita	ASPECT:IPFV	Ha’e ndombojaruita hína
Guarani0226	Ha’e ndombojaruita	PERSON:1_SI	Che ndambojaruita
Guarani0026	Ha’e oguapy	PERSON:3_PL	Hikuái oguapy
Guarani0027	Ha’e oguapy	TYPE:NEG	Ha’e ndoguapýi
Guarani0028	Ha’e oguapy	PERSON:1_SI	Che aguapy
Guarani0029	Ha’e oguapy	PERSON:2_SI	Nde reguapy
Guarani0030	Ha’e oguapy	PERSON:2_PL	Peẽ peguapy
Guarani0031	Ha’e oguapy	TENSE:FUT_SIM	Ha’e oguapýta
Guarani0032	Ha’e oguapy	TENSE:PAS_PLU	Ha’e oguapýva’ekue
Guarani0033	Ha’e oguapy	TENSE:PAS_REC	Ha’e oguapýkuri
Guarani0063	Nde nderemoheñói	TYPE:AFF	Nde remoheñói
Guarani0065	Nde nderemoheñói	PERSON:1_PL_INC	Ñande ndañamoheñói
Guarani0066	Nde nderemoheñói	PERSON:3_PL	Ha’ekuéra ndomoheñoi
Guarani0121	Ha’e nombotujaimi che ogyke - Ha’e ndombyaimi che ogyke	TYPE:AFF	Ha’e ombotujaimi che ogyke - Ha’e ombyaimi che ogyke
Guarani0122	Ha’e nombotujaimi che ogyke - Ha’e ndombyaimi che ogyke	TENSE:PAS_REC	Ha’e ndombotujaikuri hina che ogyke - Ha’e ndombyaikuri hina che ogyke
Guarani0123	Ha’e nombotujaimi che ogyke - Ha’e ndombyaimi che ogyke	PERSON:2_SI	Nde nderembotujáimi che ogyke - Nde nerembyaimi che ogyke
Guarani0124	Ha’e nombotujaimi che ogyke - Ha’e ndombyaimi che ogyke	PERSON:1_PL_INC	Ñande ndañambotujáimi che ogyke - Ñande ndañambyaimi che ogyke
Guarani0125	Ha’e nombotujaimi che ogyke - Ha’e ndombyaimi che ogyke	TENSE:FUT_SIM	Ha’e ombotujáta che ogyke - Ha’e ombyaíta che ogyke
Guarani0126	Ha’e nombotujaimi che ogyke - Ha’e ndombyaimi che ogyke	TENSE:PAS_PLU	Ha’e ndombotujáiva’ekue che ogyke - Ha’e ndombyaiva’ekue che ogyke
Guarani0152	Ama oikomi ka’aguy hovy’ûvare	PERSON:2_SI	Nde reikomi ka’aguy hovy’ûvare
Guarani0153	Ama oikomi ka’aguy hovy’ûvare	TYPE:NEG	Ama ndoikomi ka’aguy hovy’ûvare
Guarani0154	Ama oikomi ka’aguy hovy’ûvare	TENSE:PRE_SIM	Ama oiko ka’aguy hovy’ûvare
Guarani0155	Ama oikomi ka’aguy hovy’ûvare	PERSON:1_SI	Che aikomi ka’aguy hovy’ûvare
Guarani0145	Oipuru hikuái ka’a ha ho’u terere.	PERSON:1_PL_INC	Ñande jaipuru ka’a ha ja’u terere.
Guarani0146	Oipuru hikuái ka’a ha ho’u terere.	TYPE:NEG	Ndoipurui hikuái ka’a térã ho’u terere.
Guarani0147	Oipuru hikuái ka’a ha ho’u terere.	PERSON:2_SI	Nde reipuru ka’a ha re’u terere.
Guarani0148	Oipuru hikuái ka’a ha ho’u terere.	TENSE:FUT_SIM	Oipuruta hikuái ka’a ha ho’uta terere.
Guarani0156	Ko mombe’upy ohenduká kuri chéve che ru.	TYPE:NEG	Ko mombe’upy ndohenduká kuri chéve che ru.
Guarani0157	Ko mombe’upy ohenduká kuri chéve che ru.	PERSON:2_SI	Ko mombe’upy emohenduká kuri chéve nde.
Guarani0158	Ko mombe’upy ohenduká kuri chéve che ru.	PERSON:2_PL	Ko mombe’upy pemohenduká kuri chéve peê.
Guarani0159	Ko mombe’upy ohenduká kuri chéve che ru.	TENSE:FUT_SIM	Ko mombe’upy ohendukáta chéve che ru.
Guarani0160	Ko mombe’upy ohenduká kuri chéve che ru.	TENSE:PRE_SIM	Ko mombe’upy ohenduka chéve che ru.
Guarani0034	Upérö (che) añani hína kuri	TENSE:PRE_SIM	Upérõ (che) añani hína
Guarani0035	Upérö (che) añani hína kuri	TENSE:FUT_SIM	Upérõ (che) añanita hína
Guarani0036	Upérö (che) añani hína kuri	TENSE:PAS_PLU	Upérõ (che) añanihínava’ekue
Guarani0037	Upérö (che) añani hína kuri	PERSON:2_SI	Upérõ (nde) reñanihínakuri
Guarani0038	Upérö (che) añani hína kuri	PERSON:1_PL_INC	Upérõ (ñande) ñañanihínakuri
Guarani0078	Okũmbymi hikuái	TENSE:PAS_REC	Okũmby kuri hikuái.
Guarani0079	Okũmbymi hikuái	TENSE:FUT_SIM	Okũmbyta hikuái.
Guarani0080	Okũmbymi hikuái	PERSON:1_PL_INC	Ñande ñakũmbýimi
Guarani0081	Okũmbymi hikuái	PERSON:1_SI	Che akũmbymi
Guarani0082	Okũmbymi hikuái	TYPE:NEG	Ndokũmbýimi hikuái
Guarani0017	Nde nderejapói	TYPE:AFF	Nde rejapo
Guarani0019	Nde nderejapói	PERSON:1_PL_INC	Ñande ndajajapói
Guarani0020	Nde nderejapói	PERSON:3_PL	Ha’ekuéra ndojapói
Guarani0185	Ore temimbo’e tie’ỹ ojapopami	TENSE:PRE_SIM	Ore temimbo’e tie’ỹ ojapopa
Guarani0186	Ore temimbo’e tie’ỹ ojapopami	PERSON:3_PL	Ore temimbo’ekuéra tie’ỹ ojapopami
Guarani0187	Ore temimbo’e tie’ỹ ojapopami	TYPE:NEG	Ore temimbo’e tie’ỹ nojapopami
Guarani0188	Ore temimbo’e tie’ỹ ojapopami	TENSE:FUT_SIM	Ore temimbo’e tie’ỹ ojapopata
Guarani0189	Ore temimbo’e tie’ỹ ojapopami	TENSE:PAS_PLU	Ore temimbo’e tie’ỹ ojapopava’ekue
Guarani0039	Che rasy	TENSE:PAS_REC	Che cherasy kuri
Guarani0040	Che rasy	TENSE:PAS_PLU	Che cherasy va’ekue
Guarani0041	Che rasy	TYPE:NEG	Ndacherásyi
Guarani0042	Che rasy	ASPECT:IPFV	Che rasypota hina
Guarani0043	Che rasy	PERSON:2_SI	Nde nderasy
Guarani0044	Che rasy	PERSON:3_SI	Ha’e hasy
Guarani0045	Che rasy	PERSON:1_PL_INC	Ñande rasy
Guarani0046	Che rasy	PERSON:1_PL_EXC	Ore rorasy
Guarani0047	Ha'ekuéra oúmi	PERSON:3_SI	Ha'e oúmi
Guarani0048	Ha'ekuéra oúmi	TYPE:NEG	Ha'ekuéra ndoúimi
Guarani0049	Ha'ekuéra oúmi	ASPECT:INM	Ha'ekuéra ouhikóni
Guarani0050	Ha'ekuéra oúmi	PERSON:2_PL	Peẽ pejúmi
Guarani0051	Ha'ekuéra oúmi	PERSON:1_PL_EXC	Ore rojúmi
Guarani0052	Ha'ekuéra oúmi	TENSE:PAS_PLU	Ha'ekuéra oúva'ekue
Guarani0053	Ha'ekuéra oúmi	TENSE:FUT_SIM	Ha'ekuéra oúta
Guarani0054	Ha'ekuéra oúmi	TENSE:PRE_SIM	Ha'ekuéra ou 
Guarani0055	Nde regueroviáta	PERSON:1_SI	Che agueroviáta
Guarani0056	Nde regueroviáta	PERSON:3_PL	Ha'ekuéra ogueroviáta
Guarani0057	Nde regueroviáta	PERSON:2_PL	Peẽ pegueroviáta
Guarani0058	Nde regueroviáta	TENSE:PAS_IMP	Nde agueroviámi
Guarani0059	Nde regueroviáta	TENSE:PAS_REC	Nde regueroviákuri
Guarani0060	Nde regueroviáta	PERSON:1_PL_EXC	Ore regueroviáta
Guarani0061	Nde regueroviáta	TENSE:PRE_SIM	Nde reguerovia
Guarani0062	Nde regueroviáta	TYPE:NEG	Che nderegueroviái
Guarani0063	Ha’ekuéra omano	TENSE:FUT_SIM	Ha'ekuéra omanóta
Guarani0064	Ha’ekuéra omano	TYPE:NEG	Ha'ekuéra nomanói
Guarani0065	Ha’ekuéra omano	ASPECT:IPFV	Ha'ekuéra omanohína
Guarani0066	Ha’ekuéra omano	TENSE:PAS_REC	Ha'ekuéra omanókuri
Guarani0067	Ha’ekuéra omano	PERSON:2_PL	Peẽ pemano
Guarani0068	Ha’ekuéra omano	PERSON:1_SI	Che amano
Guarani0069	Ha’ekuéra omano	PERSON:1_PL_EXC	Ore romano
Guarani0070	Ha’ekuéra oguahẽmi	TYPE:NEG	Ha'ekuérapa nog̃uahẽimi
Guarani0071	Ha’ekuéra oguahẽmi	PERSON:3_SI	Ha'e og̃uahẽmi
Guarani0072	Ha’ekuéra oguahẽmi	PERSON:1_PL_INC	Ñande ñag̃uahẽmi
Guarani0073	Ha’ekuéra oguahẽmi	PERSON:2_SI	Nde reg̃uahẽmi
Guarani0074	Ha’ekuéra oguahẽmi	TENSE:PRE_SIM	Ha'ekuéra og̃uahẽ
Guarani0075	Ha’ekuéra oguahẽmi	TENSE:FUT_SIM	Ha'ekuéra og̃uahẽta
Guarani0076	Ha’ekuéra oguahẽmi	TENSE:PAS_REC	Ha'ekuéra og̃uahẽkuri
Guarani0077	Ñande ñambohape ñande rekove	PERSON:1_PL_EXC	Ore rombohape ore rekove
Guarani0078	Ñande ñambohape ñande rekove	TENSE:PRE_SIM	Ñande ñambohape ñande rekove
Guarani0079	Ñande ñambohape ñande rekove	TYPE:NEG	Ñande nañambohapéi ñande rekove
Guarani0080	Ñande ñambohape ñande rekove	TENSE:PAS_IMP	Ñande ñambohapémi ñande rekove
Guarani0081	Ñande ñambohape ñande rekove	ASPECT:IPFV	Ñande ñambohapeñaína ñande rekove
Guarani0082	Ñande ñambohape ñande rekove	PERSON:3_SI	Ha’e ombohape hekove
Guarani0083	Ha'ekuéra nomyanyhẽmo'ãi	PERSON:2_SI	Nde neremyanyhẽmo’ãi
Guarani0084	Ha'ekuéra nomyanyhẽmo'ãi	PERSON:1_PL_EXC	Ore Noromyanyhẽmo’ãi
Guarani0085	Ha'ekuéra nomyanyhẽmo'ãi	TENSE:PAS_PLU	Ha’ekuéra nomyanyhẽiva’ekue
Guarani0086	Ha'ekuéra nomyanyhẽmo'ãi	TYPE:AFF	Ha’ekuéra omyanyhẽta
Guarani0087	Ha'ekuéra nomyanyhẽmo'ãi	ASPECT:IPFV	Ha’ekuéra omyanyhẽhína
Guarani0088	Ha'ekuéra nomyanyhẽmo'ãi	TENSE:PRE_SIM	Ha’ekuéra omyanyhẽ
Guarani0089	Upéguintema ojeraha chupe tasyópe	PERSON:1_SI	Upéguintema araha chupe tasyópe
Guarani0090	Upéguintema ojeraha chupe tasyópe	TENSE:FUT_SIM	Upéguintema ojeraháta chupe tasyópe
Guarani0091	Upéguintema ojeraha chupe tasyópe	TENSE:PAS_PLU	Upéguintema ojerahava’ekue chupe tasyópe
Guarani0092	Upéguintema ojeraha chupe tasyópe	ASPECT:IPFV	Upéguintema ojerahahína chupe tasyópe
Guarani0093	Upéguintema ojeraha chupe tasyópe	PERSON:2_PL	Upéguintema peraha chupe tasyópe
Guarani0094	Upéguintema ojeraha chupe tasyópe	TYPE:NEG	Upéguintema ndojerahái chupe tasyópe
Guarani0095	Upe pyhare mbohapyhápe oñembo’e hikuái	PERSON:3_SI	Upe pyhare mbohapyhápe oñembo’e 
Guarani0096	Upe pyhare mbohapyhápe oñembo’e hikuái	PERSON:2_PL	Upe pyhare mbohapyhápe peñembo’e
Guarani0097	Upe pyhare mbohapyhápe oñembo’e hikuái	PERSON:2_SI	Upe pyhare mbohapyhápe reñembo’e
Guarani0098	Upe pyhare mbohapyhápe oñembo’e hikuái	TENSE:FUT_SIM	Upe pyhare mbohapyhápe oñembo’éta hikuái
Guarani0099	Upe pyhare mbohapyhápe oñembo’e hikuái	ASPECT:IPFV	Upe pyhare mbohapyhápe oñembo’ehína hikuái
Guarani0100	Upe pyhare mbohapyhápe oñembo’e hikuái	PERSON:1_SI	Upe pyhare mbohapyhápe añembo’e
Guarani0101	Upe pyhare mbohapyhápe oñembo’e hikuái	TYPE:NEG	Upe pyhare mbohapyhápe noñembo’éi hikuái
Guarani0102	Peẽ pekakuaákuri	TYPE:NEG	Peẽ ndapekakuaáikuri
Guarani0103	Peẽ pekakuaákuri	PERSON:2_SI	Nde rekakuaákuri
Guarani0104	Peẽ pekakuaákuri	PERSON:3_SI	Ha’e okakuaákuri
Guarani0105	Peẽ pekakuaákuri	PERSON:1_PL_EXC	Ore rokakuaákuri
Guarani0106	Peẽ pekakuaákuri	PERSON:1_SI	Che akakuaákuri
Guarani0107	Peẽ pekakuaákuri	TENSE:FUT_SIM	Peẽ pekakuaáta
Guarani0108	Peẽ pekakuaákuri	TENSE:PRE_SIM	Peẽ pekakuaákuri
Guarani0109	Peẽ pekakuaákuri	ASPECT:IPFV	Peẽ pekakuaahína
Guarani0110	Ko’ag̃aite ndaikatúi ahecha ndéve	TYPE:AFF	Ko’ag̃aite ikatu ahecha ndéve
Guarani0111	Ko’ag̃aite ndaikatúi ahecha ndéve	PERSON:1_PL_INC	Ko’ag̃aite ndaikatúi jahecha ndéve
Guarani0112	Ko’ag̃aite ndaikatúi ahecha ndéve	PERSON:3_PL	Ko’ag̃aite ndaikatúi ohecha ndéve hikuái
Guarani0113	Ko’ag̃aite ndaikatúi ahecha ndéve	PERSON:1_PL_EXC	Ko’ag̃aite ndaikatúi rohecha ndéve
Guarani0114	Ko’ag̃aite ndaikatúi ahecha ndéve	TENSE:FUT_SIM	Ko’ag̃aite ndaikatumo'ãi ahecha ndéve
Guarani0115	Ko’ag̃aite ndaikatúi ahecha ndéve	TENSE:PAS_REC	Ko’ag̃aite ndaikatúikuri ahecha ndéve
Guarani0116	Nde reimo’ãta	PERSON:1_SI	Nde aimo’ãta
Guarani0117	Nde reimo’ãta	PERSON:3_PL	Ha'e oimo’ãta
Guarani0118	Nde reimo’ãta	PERSON:2_PL	Peẽ peimo’ãta
Guarani0119	Nde reimo’ãta	TENSE:PAS_IMP	Nde reimo’ãmi
Guarani0120	Nde reimo’ãta	TENSE:PAS_REC	Nde reimo’ãkuri
Guarani0121	Nde reimo’ãta	PERSON:1_PL_EXC	Ore roimo’ãta
Guarani0122	Nde reimo’ãta	TENSE:PRE_SIM	Ore roimo’ã
Guarani0123	Nde reimo’ãta	TYPE:NEG	Ore noroimo’ãi
Guarani0124	Nde reroviáta	PERSON:1_SI	Che aroviáta
Guarani0125	Nde reroviáta	PERSON:3_PL	Ha’ekuéra oroviáta
Guarani0126	Nde reroviáta	PERSON:2_PL	Peẽ peroviáta
Guarani0127	Nde reroviáta	TENSE:PAS_IMP	Nde aroviava’ekue
Guarani0128	Nde reroviáta	TENSE:PAS_REC	Nde reroviákuri
Guarani0129	Nde reroviáta	PERSON:1_PL_EXC	Ore roroviákuri
Guarani0130	Nde reroviáta	TENSE:PRE_SIM	Nde rerovia
Guarani0131	Nde reroviáta	TYPE:NEG	Nde ndereroviái
Guarani0132	Peẽ pehasáta	PERSON:2_SI	Nde rehasáta
Guarani0133	Peẽ pehasáta	TYPE:NEG	Peẽ ndapehasái
Guarani0134	Peẽ pehasáta	PERSON:1_SI	Peẽ pehasáta
Guarani0135	Peẽ pehasáta	PERSON:1_PL_INC	Ñande jahasáta
Guarani0136	Peẽ pehasáta	TENSE:PAS_REC	Peẽ pehasákuri
Guarani0137	Peẽ pehasáta	TENSE:PRE_SIM	Peẽ pehasa
Guarani0138	Peẽ pehasáta	ASPECT:IPFV	Peẽ pehasahína
Guarani0139	Peẽ pehasáta	PERSON:3_SI	Ha’e ohasáta
Guarani0140	Ha’ekuéra opóta	TENSE:PAS_PLU	Ha’ekuéra opova’ekue
Guarani0141	Ha’ekuéra opóta	TENSE:PRE_SIM	Ha’ekuéra opo
Guarani0142	Ha’ekuéra opóta	TYPE:NEG	Ha’ekuéra ndopói
Guarani0143	Ha’ekuéra opóta	ASPECT:IPFV	Ha’ekuéra opohína
Guarani0144	Ha’ekuéra opóta	PERSON:2_PL	Peẽ pepóta
Guarani0145	Ha’ekuéra opóta	PERSON:1_PL_INC	Ñande japóta
Guarani0146	Umi ho'uva ka'avojehe'a ndaikyramo'ãi	TYPE:AFF	Umi ho’úva ka’avojehe’a ndaikyramo'ãi
Guarani0147	Umi ho'uva ka'avojehe'a ndaikyramo'ãi	TENSE:PAS_PLU	Umi ho'uva'ekue ka’avojehe’a ndaikyramo'ãi
Guarani0148	Umi ho'uva ka'avojehe'a ndaikyramo'ãi	TENSE:PAS_REC	Umi ho’úvakuri ka’avojehe’a ndaikyramo'ãi
Guarani0149	Umi ho'uva ka'avojehe'a ndaikyramo'ãi	TENSE:PRE_SIM	Umi ho’úva ka’avojehe’a ndaikyramo'ãi
